,Model,Use context,Task,Instance,Task weight,RCRPS,RCRPS variance,RCRPS scaling,CRPS,CRPS RoI,CRPS non RoI,CRPS constraint violations
0,Direct Prompt - GPT-4o,True,ATMBuildingClosedTask,1,1,0.09766306707362606,1.8421702096027914e-05,0.02701044932808284,0.13901485996450538,0.03333805591003595,0.16198807823721617,0.0
1,Direct Prompt - GPT-4o,True,ATMBuildingClosedTask,2,1,0.05075077609660144,1.2217045535479457e-05,0.02701044932808284,0.07238924138204841,0.018862511465416416,0.08263904072778647,0.0
2,Direct Prompt - GPT-4o,True,ATMBuildingClosedTask,3,1,0.029608379690170578,1.5121366358911012e-06,0.02701044932808284,0.05052801551043786,0.005202137899858756,0.054014621480482396,0.0
3,Direct Prompt - GPT-4o,True,ATMBuildingClosedTask,4,1,0.0558526435911833,6.7232391727175086e-06,0.02701044932808284,0.08875187452420222,0.009793720284956916,0.10191156689740968,0.0
4,Direct Prompt - GPT-4o,True,ATMBuildingClosedTask,5,1,0.033994157711872065,5.81127905882335e-07,0.02701044932808284,0.060806036049653095,0.006189246843062132,0.061799068580681994,0.0
5,Direct Prompt - GPT-4o,True,ATMUnderPeriodicMaintenanceTaskWithConclusion,1,1/3,0.18616128918296462,2.8783451697214417e-05,0.02911935924796617,0.1842174181532767,0.20430408546005124,0.16801849290587798,0.0
6,Direct Prompt - GPT-4o,True,ATMUnderPeriodicMaintenanceTaskWithConclusion,2,1/3,0.06779001990185435,9.361558378677763e-06,0.02911935924796617,0.0680190748588248,0.06725555833558997,0.06832448146811874,0.0
7,Direct Prompt - GPT-4o,True,ATMUnderPeriodicMaintenanceTaskWithConclusion,3,1/3,0.080941545650711,4.967543049597506e-05,0.02911935924796617,0.07907148090228114,0.08966851447671692,0.07221457682470508,0.0
8,Direct Prompt - GPT-4o,True,ATMUnderPeriodicMaintenanceTaskWithConclusion,4,1/3,0.1327138032260237,0.0004530045727925673,0.02911935924796617,0.12673321948213515,0.16062319403083664,0.10480441242121072,0.0
9,Direct Prompt - GPT-4o,True,ATMUnderPeriodicMaintenanceTaskWithConclusion,5,1/3,0.07686684026090002,1.2318374620714393e-05,0.02911935924796617,0.07334539759536353,0.08508353981381837,0.06865014070798163,0.0
10,Direct Prompt - GPT-4o,True,ATMUnderPeriodicMaintenanceTaskWithConclusionLessExplicit,1,1/3,0.18512963808268884,1.0947347480455807e-05,0.02911935924796617,0.18395159270749753,0.19612472825114077,0.17413454791423688,0.0
11,Direct Prompt - GPT-4o,True,ATMUnderPeriodicMaintenanceTaskWithConclusionLessExplicit,2,1/3,0.0903703200280748,6.792141382709678e-05,0.02911935924796617,0.09042661290779,0.09023896997540601,0.09050167008074358,0.0
12,Direct Prompt - GPT-4o,True,ATMUnderPeriodicMaintenanceTaskWithConclusionLessExplicit,3,1/3,0.06671969790963687,1.0852597757892737e-05,0.02911935924796617,0.06478066947669565,0.0757684972633625,0.05767089855591125,0.0
13,Direct Prompt - GPT-4o,True,ATMUnderPeriodicMaintenanceTaskWithConclusionLessExplicit,4,1/3,0.11779798881536167,5.8415374185707446e-05,0.02911935924796617,0.11586986949215382,0.12679587899033148,0.10880009864039186,0.0
14,Direct Prompt - GPT-4o,True,ATMUnderPeriodicMaintenanceTaskWithConclusionLessExplicit,5,1/3,0.07825917729417195,1.9996496301268162e-05,0.02911935924796617,0.07639842792792159,0.08260092581542282,0.07391742877292111,0.0
15,Direct Prompt - GPT-4o,True,ATMUnderPeriodicMaintenanceTaskWithoutConclusion,1,1/3,0.1856059565867594,3.667589120017897e-05,0.02911935924796617,0.18471336046456371,0.19393685372725267,0.17727505944626618,0.0
16,Direct Prompt - GPT-4o,True,ATMUnderPeriodicMaintenanceTaskWithoutConclusion,2,1/3,0.07490042766324018,2.5413501511085954e-05,0.02911935924796617,0.0743090028483694,0.07628041889793873,0.07352043642854164,0.0
17,Direct Prompt - GPT-4o,True,ATMUnderPeriodicMaintenanceTaskWithoutConclusion,3,1/3,0.07275551262501624,1.554961354508941e-05,0.02911935924796617,0.07019224250520602,0.08471743985079729,0.060793585399235205,0.0
18,Direct Prompt - GPT-4o,True,ATMUnderPeriodicMaintenanceTaskWithoutConclusion,4,1/3,0.17116269615681826,0.0008459581236077775,0.02911935924796617,0.18738486473424487,0.09545924279549407,0.2468661495181424,0.0
19,Direct Prompt - GPT-4o,True,ATMUnderPeriodicMaintenanceTaskWithoutConclusion,5,1/3,0.07349898911151123,1.710017538536462e-05,0.02911935924796617,0.07169415988553197,0.07771025730546276,0.06928772091755969,0.0
20,Direct Prompt - GPT-4o,True,BoundedPredConstraintsBasedOnPredQuantilesTask,1,1/2,6.2374620432951335,3.3154005165472364,0.2448819668919581,0.5733455502225708,0.5733455502225708,0.5733455502225708,5.664116493072562
21,Direct Prompt - GPT-4o,True,BoundedPredConstraintsBasedOnPredQuantilesTask,2,1/2,0.03896344184325378,0.00015050461664991438,0.2448819668919581,0.012706653170949371,0.012706653170949371,0.012706653170949371,0.02625678867230441
22,Direct Prompt - GPT-4o,True,BoundedPredConstraintsBasedOnPredQuantilesTask,3,1/2,0.05576166454435624,0.00012583230958537034,0.2448819668919581,0.009676238830661375,0.009676238830661375,0.009676238830661375,0.046085425713694866
23,Direct Prompt - GPT-4o,True,BoundedPredConstraintsBasedOnPredQuantilesTask,4,1/2,0.1682318705717179,0.0001538715704828705,0.2448819668919581,0.148807969003385,0.148807969003385,0.148807969003385,0.019423901568332902
24,Direct Prompt - GPT-4o,True,BoundedPredConstraintsBasedOnPredQuantilesTask,5,1/2,0.10210829768940295,0.00026557740418220357,0.2448819668919581,0.07938869298331537,0.07938869298331537,0.07938869298331537,0.02271960470608758
25,Direct Prompt - GPT-4o,True,CashDepletedinATMScenarioTask,1,1/2,0.09975182353026503,1.2655884371717724e-05,0.02701044932808284,0.1467184154885589,0.026692680484030055,0.1728109665765,0.0
26,Direct Prompt - GPT-4o,True,CashDepletedinATMScenarioTask,2,1/2,0.05473177530241564,1.8838137980984638e-05,0.02701044932808284,0.0830588673481144,0.012986587024543795,0.09647696358028748,0.0
27,Direct Prompt - GPT-4o,True,CashDepletedinATMScenarioTask,3,1/2,0.02806237032191412,6.258931912901544e-07,0.02701044932808284,0.047656855255104436,0.005202137899858756,0.05092260274396948,0.0
28,Direct Prompt - GPT-4o,True,CashDepletedinATMScenarioTask,4,1/2,0.05339028102208896,2.14920812908059e-06,0.02701044932808284,0.08631149253104865,0.007300584909545386,0.09947997713463254,0.0
29,Direct Prompt - GPT-4o,True,CashDepletedinATMScenarioTask,5,1/2,0.03573718282083987,7.560603826977632e-07,0.02701044932808284,0.06422983537083982,0.006189246843062132,0.06528511879861759,0.0
30,Direct Prompt - GPT-4o,True,DecreaseInTrafficInPredictionTask,1,1,0.08226399277301359,4.380935372473406e-05,0.10845045982994969,0.05598167548730415,0.1273193938342299,0.03720859171179729,0.0
31,Direct Prompt - GPT-4o,True,DecreaseInTrafficInPredictionTask,2,1,0.023215929685541866,6.937158931116235e-07,0.10845045982994969,0.017058504203057816,0.03553078065050996,0.010901078720573778,0.0
32,Direct Prompt - GPT-4o,True,DecreaseInTrafficInPredictionTask,3,1,0.0066792173426088045,4.854493059767524e-07,0.10845045982994969,0.011103790705072596,0.0013697293076522649,0.011988705377565344,0.0
33,Direct Prompt - GPT-4o,True,DecreaseInTrafficInPredictionTask,4,1,0.04266129796723672,2.903565078632408e-05,0.10845045982994969,0.04180569413114314,0.0443725056394239,0.04095009029504953,0.0
34,Direct Prompt - GPT-4o,True,DecreaseInTrafficInPredictionTask,5,1,0.14325733366109475,0.00012602469200047813,0.10845045982994969,0.14669988263250244,0.1363722357182795,0.15014243160390997,0.0
35,Direct Prompt - GPT-4o,True,DiffuseHorizontalIrradianceFromCloudStatus,1,1/4,0.215594947710769,7.263115023690608e-07,0.0031541761291950542,0.215594947710769,0.215594947710769,0.215594947710769,0.0
36,Direct Prompt - GPT-4o,True,DiffuseHorizontalIrradianceFromCloudStatus,2,1/4,0.10478830221212887,9.225852081443556e-06,0.0031541761291950542,0.10478830221212887,0.10478830221212887,0.10478830221212887,0.0
37,Direct Prompt - GPT-4o,True,DiffuseHorizontalIrradianceFromCloudStatus,3,1/4,0.21804337693105674,3.802105773360725e-05,0.0031541761291950542,0.21804337693105674,0.21804337693105674,0.21804337693105674,0.0
38,Direct Prompt - GPT-4o,True,DiffuseHorizontalIrradianceFromCloudStatus,4,1/4,0.09005917584882384,8.243341375788147e-06,0.0031541761291950542,0.09005917584882384,0.09005917584882384,0.09005917584882384,0.0
39,Direct Prompt - GPT-4o,True,DiffuseHorizontalIrradianceFromCloudStatus,5,1/4,0.12276228726834328,6.175187864876661e-06,0.0031541761291950542,0.12276228726834328,0.12276228726834328,0.12276228726834328,0.0
40,Direct Prompt - GPT-4o,True,DirectNormalIrradianceFromClearsky,1,1/2,0.07640465646806227,2.6468327434415215e-05,0.0012077294685990338,0.07640465646806227,0.07640465646806227,0.07640465646806227,0.0
41,Direct Prompt - GPT-4o,True,DirectNormalIrradianceFromClearsky,2,1/2,0.007667069243156194,4.472417055085383e-07,0.0012077294685990338,0.007667069243156194,0.007667069243156194,0.007667069243156194,0.0
42,Direct Prompt - GPT-4o,True,DirectNormalIrradianceFromClearsky,3,1/2,0.2562308776167472,3.385282266740447e-07,0.0012077294685990338,0.2562308776167472,0.2562308776167472,0.2562308776167472,0.0
